date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:03	88862/88862	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2009:28:01%20GMT	https://salam.my/biodata-ustaz-mohamad-auni/	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/biodata-ustaz-mohamad-auni/index.html	(from )
17:28:03	109/109	---M-Z	200	added ('OK')	text/plain	date:Tue,%2021%20May%202024%2009:28:01%20GMT	https://salam.my/robots.txt		(from )
17:28:03	45597/45597	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Jul%202019%2008:40:30%20GMT	https://salam.my/wp-content/uploads/2019/07/biodata-ustaz-auni-mohamad.jpg	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/wp-content/uploads/2019/07/biodata-ustaz-auni-mohamad.jpg	(from https://salam.my/biodata-ustaz-mohamad-auni/)
17:28:03	51338/51338	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2007:11:03%20GMT	https://salam.my/wp-includes/css/dist/block-library/style.min.css?ver=5.6.13	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/wp-includes/css/dist/block-library/style.min9c62.css	(from https://salam.my/biodata-ustaz-mohamad-auni/)
17:28:04	184/184	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Dec%202020%2023:38:34%20GMT	https://salam.my/wp-content/plugins/quick-adsense-reloaded/includes/gutenberg/dist/blocks.style.build.css?ver=2.0.17.1	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/wp-content/plugins/quick-adsense-reloaded/includes/gutenberg/dist/blocks.style.build571a.css	(from https://salam.my/biodata-ustaz-mohamad-auni/)
17:28:04	46819/46819	---M-Z	200	added ('OK')	text/css	date:Thu,%2031%20Dec%202020%2023:38:40%20GMT	https://salam.my/wp-content/plugins/mashsharer/assets/css/mashsb.min.css?ver=3.7.8	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/wp-content/plugins/mashsharer/assets/css/mashsb.min3621.css	(from https://salam.my/biodata-ustaz-mohamad-auni/)
17:28:04	722/722	---M-Z	200	added ('OK')	application/rss+xml	etag:%228e1032773e3b8418e4e12c4795edf27f%22	https://salam.my/biodata-ustaz-mohamad-auni/feed/	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/biodata-ustaz-mohamad-auni/feed/index.html	(from https://salam.my/biodata-ustaz-mohamad-auni/)
17:28:04	2722/2722	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202017%2009:27:00%20GMT	https://salam.my/wp-content/plugins/whats-your-reaction/css/main.min.css?ver=1.0	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/wp-content/plugins/whats-your-reaction/css/main.min5152.css	(from https://salam.my/biodata-ustaz-mohamad-auni/)
17:28:05	1509/1509	---M-Z	200	added ('OK')	text/css	date:Sun,%2030%20Aug%202020%2002:39:41%20GMT	https://salam.my/wp-content/plugins/wordpress-popular-posts/assets/css/wpp.css?ver=5.2.4	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/wp-content/plugins/wordpress-popular-posts/assets/css/wpp4d2c.css	(from https://salam.my/biodata-ustaz-mohamad-auni/)
17:28:05	126096/126096	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202017%2009:20:16%20GMT	https://salam.my/wp-content/themes/bimber/css/original/all.css?ver=3.4	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/wp-content/themes/bimber/css/original/alle735.css	(from https://salam.my/biodata-ustaz-mohamad-auni/)
17:28:06	5160/5160	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Mar%202020%2002:23:12%20GMT	http://salam.my/wp-content/uploads/dynamic-style.css?respondjs=no&ver=3.4	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/wp-content/uploads/dynamic-style3704.css	(from https://salam.my/biodata-ustaz-mohamad-auni/)
17:28:06	89496/89496	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2031%20Dec%202020%2023:41:00%20GMT	https://salam.my/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/koleksi-koleksi%20Ustaz%20Auni/salammy/salam.my/wp-includes/js/jquery/jquery.min9d52.js	(from https://salam.my/biodata-ustaz-mohamad-auni/)
